row_num,chain,project,symbol,rewardTokens,pool,stablecoin,ilRisk,exposure,poolMeta,underlyingTokens
6621,Solana,raydium,USDT-USDC,None,c5e16b70-58bd-4550-b63e-7897645bdf26,TRUE,no,multi,,None
6622,Optimism,acryptos,USDT,None,05a60c28-1dd4-4865-bb5c-c5912111f825,TRUE,no,single,Dforce,None
6623,Ethereum,premia,ALCX,0x6399C842dD2bE3dE30BF99Bc7D1bBF6Fa3650E70,f59da86c-017e-4871-af5e-7d2ad77b2a77,FALSE,yes,single,ALCX/DAI - CALL,0xdbdb4d16eda451d0503b854cf79d55697f90c8df
6624,BSC,beefy,INJ-BNB,None,6b9903d4-b0dc-46fc-9745-c22c3cb1a5b8,FALSE,yes,multi,Pancakeswap,None
6625,Carbon,demex,STOSMO-OSMO,swth,65ae8445-93e1-4bfb-8aed-464799b4981f,FALSE,yes,multi,,"ibc/75249A18DEFBEFE55F83B1C70CAD234DF164F174C6BC51682EE92C2C81C18C93, ibc/ED07A3391A112B175915CD8FAF43A2DA8E4790EDE12566649D0C2F97716B8518"
6626,Polygon,kyberswap,KNC-USDC,,83b2fd56-5982-491f-8648-8e0891528296,FALSE,yes,multi,1%,"0x1c954e8fe737f99f68fa1ccda3e51ebdb291948c, 0x2791bca1f2de4661ed88a30c99a7a9449aa84174"
6627,Polygon,uniswap-v3,WMATIC-KITTY,None,041bffec-9efd-469b-a1e9-904a3b0472af,FALSE,yes,multi,1%,"0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270, 0xb4228798ff437ecd8fa43429664e9992256fe6ac"
6628,BSC,beefy,NEAR-BNB,None,36e5d3a3-cb14-450e-ac79-3268866b22f4,FALSE,yes,multi,Apeswap,None
6629,Avalanche,trader-joe-dex,OH-WAVAX,,43bc3ff6-ff9d-4692-9c6c-aa7c938ebfe4,FALSE,yes,multi,,"0x937e077abaea52d3abf879c9b9d3f2ebd15baa21, 0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7"
6630,Polygon,balancer,WETH-BOB,None,8dee7e26-446b-4494-af66-a0a3d3b9240b,FALSE,yes,multi,,"0x7ceb23fd6bc0add59e62ac25578270cff1b9f619, 0xb0b195aefa3650a6908f15cdac7d92f8a5791b0b"
