protocol_slug,protocol_id,size_mb,status_code,error,retries
sun.io,431,1.23,200,,0
longdrink,432,0.67,200,,0
daoventures,433,0.68,200,,0
tarot,434,19.43,200,,0
hop-protocol,435,3.21,200,,0
witswap,436,0.18,200,,0
guard-helmet,437,2.57,200,,0
tokemak,438,3.53,200,,0
the-grand-banks,439,3.82,200,,0
loterra,440,0.2,200,,0
pylon-protocol,441,0.21,200,,0
universe-xyz,442,1.45,200,,0
kogefarm,443,9.97,200,,0
polydex-cryption-network,444,0.86,200,,0
cobraswap,445,1.88,200,,0
miningtycoon,446,0.81,200,,0
illuvium,447,1.23,200,,0
balanced-exchange,448,1.09,200,,0
qidao,449,8.25,200,,0
scream,450,3.37,200,,0
karura-swap,451,0.66,200,,0
karura-dollar-(kusd),452,0.49,200,,0
wild-credit,453,1.34,200,,0
back-finance,454,1.43,200,,0
zoocoin,455,8.04,200,,0
telcoin,456,1.24,200,,0
fuji-v1,457,1.3,200,,0
save,458,11.27,200,,0
multiplier,459,2.85,200,,0
ondo-v1-(legacy),460,0.38,200,,0
planet-farm,461,3.33,200,,0
augury-finance,462,1.71,200,,0
gro,463,1.78,200,,0
beta-finance-v1,464,4.61,200,,0
lixir-finance,465,1.3,200,,0
vanilla,466,1.3,200,,0
benqi-lending,467,3.57,200,,0
joe-dex,468,5.1,200,,0
port-finance,469,1.68,200,,0
mensa-protocol,470,0.48,200,,0
complus-network,471,1.76,200,,0
avalaunch,472,1.12,200,,0
baguette,473,1.32,200,,0
canary,474,1.84,200,,0
yield-yak-aggregator,475,14.54,200,,0
asgard-finance,476,0.5,200,,0
sakeperp,477,4.17,200,,0
yapeswap,478,0.66,200,,0
shiba-fantom,479,3.19,200,,0
kuswap,480,0.99,200,,0
sonicswap,481,4.05,200,,0
shibance,482,1.11,200,,0
nftx,483,1.28,200,,0
marinade-liquid-staking,484,0.37,200,,0
tendieswap,485,1.1,200,,0
unfederalreserve,486,1.83,200,,0
sunny,487,4.11,200,,0
ubeswap-v2,488,1.56,200,,0
moola-market,489,1.48,200,,0
plenty,490,2.06,200,,0
terraswap,491,0.77,200,,0
moonpot,492,1.01,200,,0
grim-finance,493,5.37,200,,0
justlend,494,2.47,200,,0
hfione,495,1.55,200,,0
orion-pools,496,4.47,200,,0
float-protocol,497,0.54,200,,0
pilot-protocol,498,1.16,200,,0
polycat,499,7.6,200,,0
stakesteak,500,1.07,200,,0
robo-vault,501,0.67,200,,0
coinwind,502,5.95,200,,0
derive-v1,503,1.48,200,,0
mento,504,0.96,200,,0
karura-liquid-staking,505,0.37,200,,0
tetu-earn,506,0.9,200,,0
defibox,507,1.43,200,,0
klayswap-v1,508,3.19,200,,0
tinlake,509,0.95,200,,0
gaj-finance,510,1.84,200,,0
frost-finance,511,2.68,200,,0
feeder-finance,512,1.69,200,,0
quipuswap-v1,513,1.31,200,,0
orion-money,514,0.85,200,,0
wrap-protocol,515,1.86,200,,0
qubit,516,1.36,200,,0
kolibri,517,0.82,200,,0
nuls,518,0.13,200,,0
sirius,519,0.44,200,,0
youves,520,1.28,200,,0
pizza,521,0.08,200,,0
volta-club,522,0.86,200,,0
cryptoyieldfocus,523,0.62,200,,0
ramp,524,2.09,200,,0
cycle-finance,525,2.37,200,,0
zabu-finance,526,2.0,200,,0
kswap-finance,527,0.67,200,,0
symmetric,528,2.22,200,,0
shadecash,529,1.25,200,,0
avaware,530,1.48,200,,0
kuu-finance,531,0.47,200,,0
twindex,532,1.23,200,,0
openocean,533,2.55,200,,0
thales,534,1.68,200,,0
teddy-cash,535,1.01,200,,0
larix,536,3.11,200,,0
arbinyan,537,1.11,200,,0
alchemist,538,0.7,200,,0
carbon-finance,539,0.53,200,,0
moonswap,540,1.11,200,,0
rhea-dex,541,2.55,200,,0
newdex,542,1.02,200,,0
cherryswap,543,1.24,200,,0
soulswap,544,2.4,200,,0
apollodao,545,1.27,200,,0
omm,546,0.37,200,,0
pnetwork,547,1.16,200,,0
dfs-network,548,0.94,200,,0
vigor,549,0.55,200,,0
freeriver,550,0.59,200,,0
solarbeam,551,2.43,200,,0
seadex,552,0.37,200,,0
annex,553,7.57,200,,0
stormswap,554,3.03,200,,0
genshiro,555,0.35,200,,0
defi-kingdoms,556,28.8,200,,0
meta-pool-near,557,0.49,200,,0
magic-land,558,2.8,200,,0
dapp-account-dao,559,0.32,200,,0
alita-finance,561,1.53,200,,0
crystl-finance,562,4.9,200,,0
timewarp,563,1.36,200,,0
fabric,564,0.17,200,,0
sunrise-gaming,565,1.07,200,,0
macaronswap,566,3.19,200,,0
newland,567,1.05,200,,0
scientix,568,0.57,200,,0
crunchy,569,0.33,200,,0
ten-finance,570,5.81,200,,0
aladdin-dao,571,0.89,200,,0
cyclone,572,2.91,200,,0
